text,label,gru_pred,cnn_pred,bert_pred
@chrishasboobs AHHH I HOPE YOUR OK!!! ,0,1,1,1
"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u",0,1,1,0
"@wizely lol, calm down.  i got a 30day loan offer for only 1500% ",1,1,1,1
"ugh, morning's off to a rough start ",0,0,0,1
@frandrescher Apparently you dont have time for ur fans!!!!!!!!!! ,0,0,0,0
Working on photos from Hillsong's 1 year celebration!!! stay tuned   www.hillsong.co.za,1,0,1,1
This day will pass slowly.  All of these days will.  RAWR!!!!  ... ,0,1,1,0
im turning 18 one week from now  but i don't feel excited  i really don't know why i've seen my friends  they got excited  but on my part,1,0,1,0
No woooooork tomorrrow&amp;tuesday ,1,1,1,0
Flatmates are still in the bathroom! ARGGH!! ,0,0,0,0
@foprof LOL.  Leave a kid on internet and the kid will do stupid things.,1,0,0,0
"just back from SuperCheap - a most successful trip. The bikes are tanked &amp; checked for the week, so all ready to start relaxing ",1,1,1,0
@ElleChanel want to shoot...but i'm not in charlotte .. ,0,0,0,0
@sephrenia1982 good work ,1,1,1,1
"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",1,1,0,0
@joshlam and you are how old?? REALLY?!? ,1,0,0,0
Watched Crank 2.... awesome ,1,1,1,1
Going To Bed ...My Ankle Hurts ,0,0,0,0
I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,0,0,1,0
Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,1,1,1,0
"@mithss mourniiiiiiing eh, morniiing!!! ",1,1,1,0
@pamelaong Glad the blog helped ,1,1,1,1
@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,1,1,1,0
at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,0,0,0,0
Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,0,0,0,0
I'm obsessed with twitting  haha,1,1,1,0
One interlock down one to go ,1,1,1,0
"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",0,0,0,0
@aleshacal my phone is dying  no charger here!,0,0,0,0
 Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,0,1,0,0
@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,0,1,1,0
@annieomnious    can it be fixed?  can we make a new simple one mayb?,0,1,1,0
Where in Singapore do they sell Dujour? ,0,1,1,1
"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",1,1,1,1
ps: i think twitter sucks if you dont have free unlimited texts. ,0,0,0,0
After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,0,1,0,1
Just downloaded a new Twitter app for my phone. So much better already. ,1,0,1,0
had a very good night ,1,1,1,1
"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",1,1,0,0
They are gone .. ,0,0,0,0
Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,1,1,1,1
Wooo I picked my sister and I miss the empty house. ,0,0,0,0
@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,1,0,1,0
@Dee_Dee_3 high low ,1,0,1,0
On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,1,0,0,0
Still at work  This entire week has felt like an extremely long and awful Monday!,0,0,0,0
Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,0,0,0,1
@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,0,0,1,1
@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,1,1,1,1
Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,0,0,0,0
I am sooo tired!! My eyes literally can't stay open ,0,0,0,0
I hate word challenge on facebook! ,0,0,0,0
new phone  tattoo on monday! Woo.. just had tea. yummy.,1,1,1,0
I want to post lol cats on here but I can't ,0,0,0,0
successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,1,0,1,0
Downtown Disney ,1,1,1,1
"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  ",1,1,1,0
@Alyssa_Milano do celebs get more characters than the rest of us? ,1,1,1,0
i aint alive....im just breathing to death ,0,0,1,0
Wishes @kirstiealley a Happy Mother's Day! ,1,1,1,1
woke up early today...dont wanna go to school tomorrow... ,0,0,0,0
"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving ",1,1,1,1
But I will follow ,1,1,1,1
I'm saying good bye to a good friend tonight... kinda sad ,0,0,0,0
"saw a red balloon flying outside my window. somewhere out there, a kid must be crying because the wind blew his balloon away... ",0,0,1,0
Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite ,1,0,1,0
hope you feel better mommy  I love you :X,0,1,1,1
@KandyChazer it is...but i was told i was gonna be entertained and i wasnt ,0,0,0,0
We should have brought a flask with v0dka. Hahaha. ,1,1,1,0
gotta go check/console/convince 2 yo to stay in bed and that he actually WANTS to go to sleep... 20 min nap in car= past his sleep... ,0,0,0,0
@kerryjor Happy Birthday!  Enjoy the cougar years - roar! ,1,1,1,1
Church of the Highlands @ 11:30 in the Bryant Conference Center! BE THERE!   ,1,1,1,1
@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard ,1,0,0,0
ugh sdre isnt coming here  lame. today can suck my dick.,0,0,0,0
@andyclemmensen tv on mute cause its boring but then ipod with speakers on timer  now thats how its done.,1,0,0,0
@AngelIVXXX very good price ,1,1,1,1
soo hungry! hot dogs with all the fixings? sounds yummy ! ,1,1,0,0
"The Tonight Show w/ Conan was AWESOME!!! I missed that tall, pale, red-headed man! ",1,1,1,1
I need someone to talk to!  Who can that be? ,1,0,0,1
un vot pe blogoree pls: http://bit.ly/ueUb6   Multumesc! ,1,0,0,1
"why do people not just try to understand instead of getting pissed off  when someone needs you, its cause they love you...",0,0,0,0
@nowamunkie My pleasure. ,1,1,1,1
@DavidArchie I'm running a fever  If you gave me a shoutout I swear I'd get better! (HINTHINT!) HAHAHA.,0,1,0,0
morning tweeple  hope you all have a great monday,1,1,1,1
hitting the gym!  its bout time,0,1,0,0
"Wife just left on a motorcycle ride. I still need to get my Washington plates , so I am at home, Drat! ",0,0,0,0
@gfalcone601 well at least you had a great time and thats what's important! ,1,1,1,1
@dawnmcwilliams Saha ,0,1,1,1
"I want to drink tonight,, want a cosmopolitan ",1,0,0,1
Everytime she stops talkin or replying for hours or days it is like she's leavin me all over again ,0,1,1,0
@girl_alex ....  Hope you're okay?,0,1,1,1
Mother's Day is a traditionally time for BBQ here ... unfortunately I don't like BBQ at all  ... but I am also not a mother ;-) ;-),0,1,1,0
back from school w/ @_gerardo. Making a grocery run w/ @kellan_craddock before celebrating @chadachi's 22nd birthday with a barbeque. ,1,1,1,0
Summat to make your laugh today http://budurl.com/beckhams ,1,1,1,1
"@victoriastevens yeah, i've started too ",0,0,0,1
Tra la la la la!  might make a video later  see if i can be bothered ,1,1,1,1
it seems that I'm going to lose the big #lgp2009's feast   I hope you enjoy it as much as I did!,0,1,0,1
